55,KON,59.65,9.63,"Kongsberg, Norway",Other,KONO,50.000,25.000,1.500,1.500
555,KRK,69.72,30.06,"Kirkenes, Norway",Other,,25.000,25.000,1.500,1.500
100,KTG,70.42,-21.98,"Kap Tobin, Greenland",Other,,12.500,12.500,0.750,0.750
56,LAH,31.55,74.33,"Lahore, Pakistan",Other,,3.125,3.125,0.750,0.750
20,LEM,-6.83,107.62,"Lembang, Indonesia",Other,,25.000,25.000,0.750,0.750
58,LON,46.75,-121.81,"Longmire, Washington",US,LON (DWW),100.000,100.000,1.500,1.500
126,LOR,47.27,3.86,"Lormes, France",Other,,100.000,100.000,0.750,0.750
59,LPA,-34.91,-57.93,"La Plata, Argentina",Other,,3.125,3.125,0.750,0.750
60,LPB,-16.53,-68.10,"La Paz, Bolivia",Other,,50.000,50.000,1.500,1.500
61,LPS,14.29,-89.16,"La Palma, El Salvador",Other,,100.000,50.000,3.000,3.000
63,LUB,33.58,-101.87,"Lubbock, Texas",US,,25.000,25.000,1.500,1.500
65,MAL,36.73,-4.41,"Malaga, Spain",Other,,50.000,50.000,1.500,1.500
66,MAN,14.66,121.08,"Manila, Philippines",Other,,12.500,12.500,1.500,1.500
64,MAT,36.54,138.21,"Matsushiro, Japan",Other,MAJO,100.000,100.000,3.000,3.000
67,MDS,43.37,-89.76,"Madison, Wisconsin",US,JFWS (NSN),100.000,100.000,1.500,1.500
69,MNN,44.91,-93.19,"Minneapolis, Minnesota",US,,50.000,50.000,3.000,3.000
71,MSH,36.31,59.59,"Mashad, Iran",Other,MAIO (SRO),12.500,12.500,1.500,1.500
555,MSO,46.83,-113.94,"Missoula, Montana",US,,100.000,100.000,1.500,1.500
72,MUN,-31.98,116.21,"Mundaring, W. Australia",Other,NWAO (142 km),25.000,25.000,0.750,0.750
74,NAI,-1.27,36.80,"Nairobi, Kenya",Other,"NAI, KMBO",50.000,50.000,1.500,1.500
73,NAT,-5.12,-35.03,"Natal, Brazil",Other,RCBR (40 km),25.000,25.000,1.500,1.500
75,NDI,28.68,77.22,"New Delhi, India",Other,,50.000,50.000,1.500,1.500
76,NHA,12.21,109.21,"Nhatrang, South Vietnam",Other,,25.000,25.000,1.500,1.500
78,NNA,-11.99,-76.84,"Nana, Peru",Other,NNA,50.000,50.000,3.000,3.000
79,NOR,81.60,-16.68,"Nord, Greenland",Other,,50.000,50.000,0.750,0.750
81,NUR,60.51,24.65,"Nurmijarvi, Finland",Other,,25.000,25.000,3.000,3.000
82,OGD,41.07,-74.62,"Ogdensburg, New Jersey",US,OGD (HGLP),100.000,50.000,6.000,0.750
83,OXF,34.51,-89.41,"Oxford, Mississippi",US,OXF (NSN),50.000,50.000,3.000,3.000
84,PDA,37.75,-25.66,"Ponta Delgada, Azores",Other,,6.250,6.250,0.750,0.750
98,PEL,-33.14,-70.69,"Peldehue, Chile",Other,,50.000,50.000,1.500,1.500
555,PLM,33.35,-116.86,"Palomar, SD County, CA",US,,50.000,50.000,0.750,0.750
86,PMG,-9.41,147.15,"Port Moresby, New Guinea",Other,PMG,25.000,25.000,1.500,1.500
87,POO,18.53,73.85,"Poona, India",Other,,50.000,50.000,1.500,1.500
89,PRE,-25.75,28.19,"Pretoria, South Africa",Other,,50.000,50.000,1.500,1.500
91,PTO,41.14,-8.60,"Porto, Portugal",Other,,25.000,25.000,1.500,1.500
92,QUE,30.19,66.95,"Quetta, Pakistan",Other,,200.000,200.000,6.000,6.000
93,QUI,-0.20,-78.50,"Quito, Ecuador",Other,OTAV (49 km),3.125,3.125,3.000,3.000
94,RAB,-4.19,152.17,"Rabaul, Cook Islands",Other,,12.500,12.500,0.750,0.750
95,RAR,-21.22,-159.77,"Rarotonga, Cook Islands",Other,RAR,6.250,6.250,0.375,0.375
96,RCD,44.08,-103.21,"Rapid City, S. Dakota",US,RSSD (67 km),25.000,25.000,1.500,1.500
97,RIV,-33.83,151.16,"Riverview, Australia",Other,,12.500,12.500,0.750,0.750
99,SBA,-77.85,166.76,"Scott Base, Antarctica",Other,SBA,25.000,12.500,0.750,0.750
101,SCP,40.80,-77.87,"State College, Pennsylvania",US,SSPA (18 km),50.000,50.000,1.500,1.500
62,SDB,-14.93,13.57,"Sa Da Bandeira, Angola",Other,,100.000,100.000,1.500,1.500
102,SEO,37.57,126.97,"Seoul, Korea",Other,INCN (31 km),50.000,50.000,0.750,0.750
103,SHA,30.69,-88.14,"Spring Hill, Alabama",US,,6.250,6.250,1.500,1.500
104,SHI,29.64,52.53,"Shiraz, Iran",Other,,50.000,50.000,0.750,0.750
114,SHK,34.53,132.68,"Shiraki, Japan",Other,,12.500,12.500,1.500,1.500
105,SHL,25.57,91.88,"Shillong, India",Other,,200.000,200.000,3.000,3.000
106,SJG,18.11,-66.15,"San Juan, Puerto Rico",US,SJG,50.000,50.000,0.750,0.750
8,SNA,-70.31,-2.33,"Sanae, Antarctica",Other,,50.000,50.000,NO LP,NO LP
68,SNG,7.17,100.62,"Songkhla, Thailand",Other,,25.000,25.000,3.000,3.000
107,SOM,-52.78,-69.24,"Sombrero, Chile",Other,,6.250,6.250,0.375,0.375
108,SPA,-90.00,0.00,"South Pole, Antarctica",Other,SPA,100.000,100.000,0.375,0.375
109,STU,48.77,9.19,"Stuttgart, Germany",Other,,25.000,25.000,0.750,0.750
110,TAB,38.07,46.33,"Tabriz, Iran",Other,,6.250,6.250,1.500,1.500
113,TAU,-42.91,147.32,"Hobart, Tasmania",Other,TAU,25.000,25.000,0.750,0.750
115,TOL,39.88,-4.05,"Toledo, Spain",Other,TOL (DWW),25.000,25.000,1.500,1.500
117,TRI,45.71,13.76,"Trieste, Italy",Other,,50.000,50.000,3.000,3.000
118,TRN,10.65,-61.40,"Trinidad, Port of Spain",Other,,25.000,25.000,1.500,1.500
119,TUC,32.31,-110.78,"Tucson, Arizona",US,TUC,200.000,200.000,3.000,3.000
120,UME,63.82,20.24,"Umea, Sweden",Other,,50.000,50.000,5.500,5.500
125,UNM,19.33,-99.18,"Mexico City, Mexico",Other,,6.250,6.250,1.500,1.500
121,VAL,51.94,-10.24,"Valentia, Ireland",Other,,25.000,12.500,1.500,0.750
122,WEL,-41.29,174.77,"Wellington, New Zealand",Other,SNZO (6 km),6.250,6.250,0.750,0.750
123,WES,42.38,-71.32,"Weston, Massachusetts",US,HRV (24 km),50.000,50.000,3.000,3.000
124,WIN,-22.57,17.10,"Windhoek, Namibia",Other,TSUM (375 km),50.000,50.000,1.500,1.500
